Day,Day1,Month,Poin,Kumulatif,Kumulatif1,Tanggal
1,1,April,3.1,3.1,3.1,01-Apr
2,2,April,2.9,6,6,02-Apr
3,3,April,0,6,6,03-Apr
4,4,April,1.6,7.6,7.6,04-Apr
5,5,April,2.3,9.9,9.9,05-Apr
6,6,April,0,9.9,9.9,06-Apr
7,7,April,1.6,11.5,11.5,07-Apr
8,8,April,4.3,15.8,15.8,08-Apr
9,9,April,3.8,19.6,19.6,09-Apr
10,10,April,3.4,23,23,10-Apr
11,11,April,6.1,29.1,29.1,11-Apr
12,12,April,3.9,33,33,12-Apr
13,13,April,3.9,36.9,36.9,13-Apr
14,14,April,5.7,42.6,42.6,14-Apr
15,15,April,3.8,46.4,46.4,15-Apr
16,16,April,5.3,51.7,51.7,16-Apr
17,17,April,1.3,53,53,17-Apr
18,18,April,1.8,54.8,54.8,18-Apr
19,19,April,6.6,61.4,61.4,19-Apr
20,20,April,5.7,67.1,67.1,20-Apr
21,21,April,8.4,75.5,75.5,21-Apr
22,22,April,6,81.5,81.5,22-Apr
23,23,April,5.4,86.9,86.9,23-Apr
24,24,April,3.4,90.3,90.3,24-Apr
25,25,April,3,93.3,93.3,25-Apr
26,26,April,7.7,101,101,26-Apr
27,27,April,1.3,102.3,102.3,27-Apr
28,28,April,3.4,105.7,105.7,28-Apr
29,29,April,0,105.7,105.7,29-Apr
30,30,April,1.6,107.3,107.3,30-Apr
1,31,Mei,6.84,6.8,114.14,01-May
2,32,Mei,1,7.8,115.14,02-May
3,33,Mei,6,13.8,121.14,03-May
4,34,Mei,9,22.8,130.14,04-May
5,35,Mei,10,32.8,140.14,05-May
6,36,Mei,0,32.8,140.14,06-May
7,37,Mei,4,36.8,144.14,07-May
8,38,Mei,1,37.8,145.14,08-May
9,39,Mei,0,37.8,145.14,09-May
10,40,Mei,1.85,39.7,146.99,10-May
11,41,Mei,1.1,40.8,148.09,11-May
12,42,Mei,2.15,42.9,150.24,12-May
13,43,Mei,0,42.9,150.24,13-May
14,44,Mei,3,45.9,153.24,14-May
15,45,Mei,0,45.9,153.24,15-May
16,46,Mei,5.65,51.6,158.89,16-May
17,47,Mei,6,57.6,164.89,17-May
18,48,Mei,3,60.6,167.89,18-May
19,49,Mei,6.55,67.1,174.44,19-May
20,50,Mei,4.46,71.6,178.9,20-May
21,51,Mei,2.66,74.3,181.56,21-May
22,52,Mei,4.9,79.2,186.46,22-May
23,53,Mei,0.98,80.1,187.44,23-May
24,54,Mei,5,85.1,192.44,24-May
25,55,Mei,2.99,88.1,195.43,25-May
26,56,Mei,2,90.1,197.43,26-May
27,57,Mei,1.84,92,199.27,27-May
28,58,Mei,2,94,201.27,28-May
29,59,Mei,0,94,201.27,29-May
30,60,Mei,0,94,201.27,30-May
31,61,Mei,5,99,206.27,31-May
1,62,Juni,0,0,206.27,01-Jun
2,63,Juni,2.87,2.9,209.14,02-Jun
3,64,Juni,1.65,4.5,210.79,03-Jun
4,65,Juni,0,4.5,210.79,04-Jun
5,66,Juni,2.17,6.7,212.96,05-Jun
6,67,Juni,0,6.7,212.96,06-Jun
7,68,Juni,8,14.7,220.96,07-Jun
8,69,Juni,5.75,20.4,226.71,08-Jun
9,70,Juni,1.25,21.7,227.96,09-Jun
10,71,Juni,4,25.7,231.96,10-Jun
11,72,Juni,4,29.7,235.96,11-Jun
12,73,Juni,2.37,32.1,238.33,12-Jun
13,74,Juni,8,40.1,246.33,13-Jun
14,75,Juni,4.85,44.9,251.18,14-Jun
15,76,Juni,9,53.9,260.18,15-Jun
16,77,Juni,6,59.9,266.18,16-Jun
17,78,Juni,5,64.9,271.18,17-Jun
18,79,Juni,0.75,65.7,271.93,18-Jun
19,80,Juni,2.64,68.3,274.57,19-Jun
20,81,Juni,3,71.3,277.57,20-Jun
21,82,Juni,6,77.3,283.57,21-Jun
22,83,Juni,5,82.3,288.57,22-Jun
23,84,Juni,6,88.3,294.57,23-Jun
24,85,Juni,9.27,97.6,303.84,24-Jun
25,86,Juni,0.85,98.4,304.69,25-Jun
26,87,Juni,2.15,100.6,306.84,26-Jun
27,88,Juni,2.95,103.5,309.79,27-Jun
28,89,Juni,4.37,107.9,314.16,28-Jun
29,90,Juni,1.05,108.9,315.21,29-Jun
30,91,Juni,13,121.9,328.21,30-Jun
1,92,Juli,7,7,335.21,01-Jul
2,93,Juli,2.45,9.5,337.66,02-Jul
3,94,Juli,2.15,11.6,339.81,03-Jul
4,95,Juli,1.45,13.1,341.26,04-Jul
5,96,Juli,11,24.1,352.26,05-Jul
6,97,Juli,0.965,25,353.225,06-Jul
7,98,Juli,6,31,359.225,07-Jul
8,99,Juli,3.45,34.5,362.675,08-Jul
9,100,Juli,1.45,35.9,364.125,09-Jul
10,101,Juli,2.4,38.3,366.525,10-Jul
11,102,Juli,0,38.3,366.525,11-Jul
12,103,Juli,2,40.3,368.525,12-Jul
13,104,Juli,11,51.3,379.525,13-Jul
